t,min_gradient,avg_gradient,max_gradient,std_gradient,min_bandit,avg_bandit,max_bandit,std_bandit,min_pseudo,avg_pseudo,max_pseudo,std_pseudo,bound_gradient,bound_bandit
1,0.0017335074449806587,9.844282903671795,850.755734182648,30.86030888065145,0.0004524518575648173,15.107556367131213,557.2577368483597,34.19775282661316,6.696589824439769e-6,0.25443957211347074,3.192289100772435,0.31689353657395614,91973.23156333143,1.4279535751099735e6
2,-0.28323625656304685,32.41714614008712,876.5552276514221,51.834031057578194,-0.20830869178827227,45.582502362128885,559.2229272590154,61.03254213171484,1.9126555673598666e-5,0.30243020452308356,2.738359963220538,0.3426887386282922,155724.21770844157,2.0194313123596727e6
3,-0.14468443028571176,55.75534468837744,929.0773420581972,70.57585128438724,-0.2005288909961176,79.56138216531501,740.7736437045887,82.6800186907013,9.384185540017853e-5,0.3169319620930636,2.944959198625128,0.348162024490556,193016.15398732503,2.473288142940095e6
4,-0.7535563129214817,75.2362414345616,945.7632202670931,83.31419553847958,0.8879743529991022,112.56348502711356,777.5931452507976,99.80293700781534,0.00010004512628369877,0.3197212080754645,2.8719890027789408,0.35907584214806,219475.20385355173,2.855907150219947e6
5,-0.02238002297439312,91.86187950867898,959.3347349272265,91.47549525320811,1.2384321743811735,142.94871473257507,852.0181628705212,112.38455023232821,3.766653939951681e-5,0.32691214846005695,3.280381499454805,0.35630623182771526,239998.4373704377,3.1930012626597527e6
6,0.14193111475156206,107.35355120895959,960.1827881909984,99.15532756080691,1.384724935746135,174.89553897880714,877.8845423561899,125.22973362577025,0.0006506243792960831,0.3227713010958818,3.6450502693424394,0.3477224466280509,256767.14013243513,3.4977576354024485e6
7,0.28186058266590397,120.09947532839104,962.0427126208067,106.33235582070719,4.905090932677704,204.80417622502037,977.8961161281356,137.15239902150748,0.00013147279311498394,0.3297624875123423,3.6953438645022523,0.35767136510485176,270944.87630383257,3.778010043486582e6
8,-0.31693163160695104,130.92011418544277,966.835862251554,112.50348703376675,5.967536492547815,231.89546198355546,1012.3048166074226,144.43864821079416,0.0002191921767096261,0.33398834204579514,3.6475003990651604,0.3668326753798151,283226.18999866187,4.0388626247193455e6
9,0.467308371035176,139.8646587800602,969.2835772240563,117.76093579997871,7.977918394465183,259.22479450834606,1081.1355164051172,152.78455332484384,8.696796902540882e-5,0.3351714440049968,3.609125566449812,0.36530939502586685,294059.07641131856,4.283860725329921e6
10,0.609249283470763,147.13512722125807,968.6385781718315,121.32194389593229,9.309619337164735,285.77111777534316,1201.370693638996,158.53424004627811,6.417885466536433e-5,0.33482665702665965,3.7446285792744565,0.37491585347339756,303749.4235155478,4.51558569032784e6
11,0.5229385379855298,152.87406125665956,969.483169481108,124.46917829658689,9.41651339682291,310.85624990077247,1206.0312848665237,166.24974093488774,1.9705773920630776e-5,0.33564017516609507,3.6893754763486726,0.37638731497387246,312515.4087530338,4.735986226686359e6
12,0.5467458457891814,157.58922310620062,970.0990825897521,127.67545358651175,11.399405278003021,336.93490498173225,1206.8662652919731,172.6138872682839,3.6926484291655015e-5,0.3399945429023049,2.9662071703601924,0.3861160066274086,320518.1262775453,4.94657628588019e6
13,1.0123619888479953,161.93054126015426,970.0549854911002,130.63568743048205,24.62796840421612,362.3010101800597,1241.264042804107,180.544517796273,9.054432516908406e-5,0.3387925071922961,2.8422773606039753,0.37390287645408465,327879.9127653595,5.148559834041128e6
14,1.196200079304428,165.32301503666062,1036.2295798376147,133.0605130302911,46.46394969371512,388.51041821242706,1406.9569128954356,187.68495797459119,0.00018752724801540666,0.3374394942357874,3.2330647932952186,0.37127562640113754,334695.8624489427,5.3429130422804905e6
15,1.7755193499512956,167.93348038927874,1051.490883507308,134.79403909579872,48.10722193921499,414.6094529264221,1468.3914749462804,194.35090126468225,0.00020033235387639792,0.337893823969469,3.245556557754628,0.37939147328976064,341041.35979443125,5.530440415558269e6
16,1.2395087783495775,170.0435086398202,1053.0981603980042,136.2053267551356,48.918252896113906,438.9861325612368,1489.6629414735285,200.00278790830706,0.0003270553877028348,0.3338600961289676,2.9150671498454113,0.3730443088949318,346977.176143772,5.711814300439894e6
17,1.9687183050396335,171.65496941743365,1052.8667745605164,137.3928041069832,49.96800372308081,461.0532811439445,1489.2419117637098,204.55488547551346,0.0002427947601653102,0.33650333482884953,3.31238721027977,0.3916230714943935,352553.0185245344,5.887603418656782e6
18,1.9639017465701105,173.08977747227158,1055.1980960587073,138.15766024031336,49.28495878237591,484.87985532216373,1514.5765594210104,211.4480104978298,0.00026421725779535166,0.33336920658956454,3.2974431853129644,0.37952409142926447,357810.0625564287,6.058293937079017e6
19,2.1149056906256387,174.10580862772076,1055.3714702994967,138.79880610941308,50.41949559454067,507.54958140963356,1553.6836420435031,217.2179044011611,7.395528295983667e-5,0.3319018515105115,3.267477264757062,0.3755083415166233,362782.79961830564,6.224305329971992e6
20,2.099148266592284,174.81049378234133,1055.1845774006017,139.05124319283763,53.90204337836465,528.185915873864,1604.0406405342403,222.4180538357393,0.00042881802000849234,0.3311101378038477,2.921662451840234,0.3761599328131613,367500.409660658,6.3860025253195055e6
21,2.1082150167330536,175.26346532985582,1055.42428876134,139.25809663932384,80.41664148817634,546.884359477252,1622.5449469397095,226.14173920116275,0.0005372133973260418,0.33161136434980387,2.9185101133452704,0.3757459229136119,371987.79872782604,6.543705346824263e6
22,2.0810504533908336,175.80052657655287,1055.519498253869,139.43534337785297,80.25837282375232,566.0587409795387,1694.5295015020242,229.72445515012882,3.9668916388180264e-5,0.33417797686687495,3.1479561473456954,0.3767996639240567,376266.39489814395,6.6976959529920295e6
23,1.7404749158014425,176.171149883994,1056.0040281588242,139.52358582986346,80.59659548344969,586.2235001019302,1789.9936598015975,234.58627509069834,0.0001857269508036552,0.3283545271238519,3.0589262939194057,0.3682595339025977,380354.7671504694,6.848224769339507e6
24,2.2318178163343294,176.45351203327638,1056.1212086635398,139.621366940992,94.31494954854203,607.1831812712055,2060.8013022164027,241.2897424954177,0.00014049160444074005,0.3277108120097325,2.9512245144156353,0.36263142315108565,384269.1124226554,6.995515270804897e6
25,2.327413197929058,176.67019132277673,1056.1680298244569,139.6237222302012,100.38645748713188,626.035591249246,2095.572997062189,245.1721816918323,0.00012511596515452084,0.3303491103577323,2.898180687106761,0.36365343636369396,388023.64317754394,7.139767875549868e6
26,2.4297467320625543,176.88818228487435,1056.064862091583,139.65218150966186,130.7295451900753,644.2643783819883,2097.1421110461984,249.355183836133,0.00024248411126492897,0.33007679602861556,3.172819142702222,0.3638514534397389,391630.8989104696,7.281163143990335e6
27,2.667475551092048,177.06394870724563,1056.0712450003205,139.69114374405495,133.22598190562195,662.0381045204475,2111.6225195909446,252.05297512653217,0.0008527985948880712,0.3298472400854057,2.633541732890711,0.360805811586452,395101.99883531214,7.419864428820286e6
28,2.61804372481258,177.23046319292934,1056.003258230587,139.70171196648872,158.61835987242972,678.5902754812527,2111.6763215930323,253.81367990285432,0.0002701688410695624,0.33157590106365453,2.6825421753121628,0.3613347209494408,398446.8485940529,7.556020086973164e6
29,3.6315979024753275,177.40860654137913,1056.0002951589784,139.68600147733008,159.34422459900247,696.1384862896499,2111.4742212231686,256.61594934450613,4.324967932767265e-5,0.327172239821136,2.589668851932629,0.3562831555581634,401674.3106769177,7.689765338904126e6
30,3.828676153168537,177.55148695763972,1055.9108588630158,139.6769087794359,159.34252219450823,712.0224223564751,2111.372197975265,259.6069591333723,0.0012579478842162928,0.324877670141912,2.6488790024893767,0.35326085638449783,404792.3459395414,7.8212238415788e6
31,3.9267203901555234,177.66343306731983,1055.7860659703185,139.68780137158748,159.54273628017592,726.9061564079783,2111.2312301031793,261.46005202576697,0.0011996641696754295,0.320828650833615,2.435096918538793,0.3367723969547897,407808.1319069609,7.950509027273033e6
32,3.9262898409898064,177.76040869416428,1055.8550501198338,139.6902773636126,159.56523149470397,744.2576331665342,2111.7344143488103,265.63740624044476,0.0005974464942717361,0.32705384543212296,2.724163004766643,0.3415025507681893,410728.16228888225,8.077725249438691e6
33,4.07472638371636,177.8482389767342,1055.6631029798925,139.67173357648215,160.43953335610038,760.4034738327894,2113.3498044239577,269.2319677693565,3.6743013918538736e-5,0.32997098912415385,2.7043506611700234,0.34680776940840063,413558.33117702726,8.20296876856719e6
34,4.0680159675827205,177.9497439414567,1057.0937788900249,139.68435134486256,166.27818177472798,777.0482630110143,2116.9641051184294,273.7825120954751,0.00023475940253803174,0.33038003490556067,2.4901654995481337,0.3458755637600435,416304.0046696446,8.326328604538621e6
35,4.084315499145713,178.03629391714608,1057.08498361746,139.686684676777,167.1477249245124,792.3356073598331,2119.905780397575,277.06224917973316,0.000905339715561837,0.33121046807780424,2.4042799059334072,0.34726541710962383,418970.08211093873,8.447887276912933e6
36,4.237983311037528,178.13362836795773,1057.2327005940297,139.67353550215583,171.14453598198543,806.695539040241,2125.048520425169,280.1062790900557,0.0002048173904150019,0.33268066214358427,2.34087348336066,0.35305687903996336,421561.0487015389,8.567721450659841e6
37,4.1190685459214045,178.21456599575535,1057.2026601722387,139.6820727551805,173.3877060393571,820.4697839052666,2141.067119499685,283.4577517364886,0.0005511355908751625,0.3334622857545042,2.4878437885765976,0.3532838803032063,424081.02089914,8.68590250168433e6
